"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Nain A.; Tyagi P.; Pant M.; Chand D.; Srivastava S.P.; Ahmad V.","Nain, Arvind (59702820600); Tyagi, Preeti (59951738700); Pant, Mayank (57203589892); Chand, Devesh (59739286300); Srivastava, Satyam Prakash (59385282800); Ahmad, Vasim (58246309600)","59702820600; 59951738700; 57203589892; 59739286300; 59385282800; 58246309600","Optimization of Green Finance Using AI and Blockchain in Inventory Management","2024","2024 International Conference on Smart Technologies for Sustainable Development Goals, ICSTSDG 2024","","","","","","5","10.1109/ICSTSDG61998.2024.11026756","https://www.scopus.com/pages/publications/105011827102?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105011827102"
"Al-Ababneh H.A.; Banihani T.; Al-Khawaldeh F.M.; Popova O.; Alkhudierat N.A.; Al Adwan M.N.; Khader J.A.","Al-Ababneh, Hassan Ali (57210107560); Banihani, Thabet (60140948900); Al-Khawaldeh, Fayez M. (56957170700); Popova, Olga (45461273100); Alkhudierat, Noor Ahmad (59661277400); Al Adwan, Muhammad Noor (57212214124); Khader, Jameel Ahmad (55599992200)","57210107560; 60140948900; 56957170700; 45461273100; 59661277400; 57212214124; 55599992200","Optimization Of Supply Chains and Marketing in The Agricultural Sector Using Innovative Technologies","2025","Pakistan Journal of Agricultural Research","38","3","","32","43","0","10.17582/journal.pjar/2025/38.4.32.43","https://www.scopus.com/pages/publications/105018779383?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018779383"
"Indradevi R.; Natarajan S.; Sathyamoorty V.K.P.","Indradevi, Ramasamy (56258006800); Natarajan, Sathya (58651858600); Sathyamoorty, Vinod Kumar P. (59214683100)","56258006800; 58651858600; 59214683100","Does disruptive technology and AI (Artificial Intelligence) influence logistics management?","2024","Multidisciplinary Science Journal","6","12","e2024259","","","12","10.31893/multiscience.2024259","https://www.scopus.com/pages/publications/85198295712?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85198295712"
"Habib F.; Bourlakis M.","Habib, Farooq (57197972264); Bourlakis, Michael (6506844873)","57197972264; 6506844873","E-procurement in retailing","2025","Elgar Encyclopedia of Retailing","","","","657","659","0","10.4337/9781035319701.00187","https://www.scopus.com/pages/publications/105037301274?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105037301274"
"Pakbin M.; Ghofrani Y.R.; Shahroodi K.","Pakbin, Mohammadreza (60251307700); Ghofrani, Yalda Rahmati (36173896800); Shahroodi, Kambiz (51664153800)","60251307700; 36173896800; 51664153800","Forecasting Demand and Optimizing Product Ordering in the Supply Chain Using Artificial Intelligence","2025","International Journal of Knowledge Processing Studies","5","1","","120","135","0","10.22034/kps.2024.478905.1201","https://www.scopus.com/pages/publications/105025468512?origin=resultslist","Article","Final","","Scopus","2-s2.0-105025468512"
"Dindarian A.","Dindarian, Azadeh (44261142900)","44261142900","Harnessing AI and Big Data to Build a Resilient Supply Chain: An Overview","2026","International Series in Operations Research and Management Science","373","","","233","251","0","10.1007/978-3-032-01218-0_9","https://www.scopus.com/pages/publications/105028518811?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105028518811"
"Rattan P.","Rattan, Punam (57224618501)","57224618501","Reshaping Supply Chain Management Using Artificial Intelligence","2025","Transforming Business Education through Artificial Intelligence","","","","179","202","0","10.1201/9781998511471-10","https://www.scopus.com/pages/publications/105023812958?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105023812958"
"Mahat D.; Niranjan K.; Naidu C.S.K.V.R.; Babu S.B.G.T.; Kumar M.S.; Natrayan L.","Mahat, Dipak (58931460000); Niranjan, K. (57223134762); Naidu, Chikkala S K V R (58930300100); Babu, S. B G Tilak (57063443300); Kumar, M.Sangeeth (57866824100); Natrayan, L. (56871260100)","58931460000; 57223134762; 58930300100; 57063443300; 57866824100; 56871260100","AI-Driven Optimization of Supply Chain and Logistics in Mechanical Engineering","2023","2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering, UPCON 2023","","","","1611","1616","46","10.1109/UPCON59197.2023.10434905","https://www.scopus.com/pages/publications/85187345402?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85187345402"
"Michalski K.; Karcz J.; Madleňáková L.","Michalski, Konrad (57204595101); Karcz, Jacek (56300124900); Madleňáková, Lucia (56289673500)","57204595101; 56300124900; 56289673500","APPLICATIONS OF ARTIFICIAL INTELLIGENCE TOOLS IN LOGISTICS AND SUPPLY CHAIN MANAGEMENT","2025","Logforum","21","4","","531","542","0","10.17270/J.LOG.001234","https://www.scopus.com/pages/publications/105023120365?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023120365"
"Pahune S.A.; Akhtar Z.; Chandrasekharan M.; Yadav S.S.; Siddique K.","Pahune, Saurabh A. (58530677000); Akhtar, Zahid (46661628200); Chandrasekharan, Manoj (58530647800); Yadav, Shipra Shivkumar (59288985500); Siddique, Kamran (57191228422)","58530677000; 46661628200; 58530647800; 59288985500; 57191228422","Convergence of GenAI and RPA: A Digital Heaven in Supply Chain Optimization Process","2025","Journal of Computer Science","21","12","","3089","3112","0","10.3844/jcssp.2025.3089.3112","https://www.scopus.com/pages/publications/105038388062?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105038388062"
"Kotha N.K.; Premalatha M.A.K.; Kanniyappan S.K.; Owolabi O.; Handaragal R.","Kotha, Naveen Kumar (60623635100); Premalatha, Monisha Athi Kesavan (60623324000); Kanniyappan, Sharath Kumar (60623435200); Owolabi, Omoshola (60623167900); Handaragal, Ramachandra (60206344300)","60623635100; 60623324000; 60623435200; 60623167900; 60206344300","AI-Driven Supply Chains: Revolutionizing Efficiency and Risk Management","2026","Proceedings - ICSES 2026: 5th International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems","","","","","","0","10.1109/ICSES66558.2026.11479057","https://www.scopus.com/pages/publications/105038350896?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105038350896"
"Ghani J.A.; Saibani N.; Suhaimi J.H.; Rizal A.H.M.; Shariffuddin A.Q.; Ghazali M.Z.; Salleh N.M.","Ghani, Jaharah A. (16304322200); Saibani, Nizaroyani (55329625900); Suhaimi, Jufri Haikal (59928571300); Rizal, Aliff Haiqal Md (59928520000); Shariffuddin, Abdul Qayyum (59928304400); Ghazali, Muhammad Zaim (59928360900); Salleh, Norasyikin Mohd (59928415800)","16304322200; 55329625900; 59928571300; 59928520000; 59928304400; 59928360900; 59928415800","Inventory Management with Artificial Intelligence (AI) and Internet of Things (IoT)","2025","Lecture Notes in Mechanical Engineering","","","","1","6","0","10.1007/978-981-96-3814-7_1","https://www.scopus.com/pages/publications/105007225910?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105007225910"
"Deglus J.; Pavan Kumar V.; Tejashree S.P.; Ranjita R.; Sahoo P.R.","Deglus, Jovin (58951712500); Pavan Kumar, V. (60655155800); Tejashree, S.P. (60654422200); Ranjita, R. (57848541100); Sahoo, Piyush Ranjan (60655155900)","58951712500; 60655155800; 60654422200; 57848541100; 60655155900","Rfqv-Based Demand Forecasting for Retail Stores","2026","2026 2nd International Conference on Computing for Sustainability and Intelligent Future, COMP-SIF 2026","","","","","","0","10.1109/COMP-SIF69752.2026.11481906","https://www.scopus.com/pages/publications/105040383332?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105040383332"
"Gowda V. D.; Reddy P.; Kumar P.S.V.V.S.R.; Singh M.; Babu K.K.","Gowda V., Dankan (57218466656); Reddy, Premkumar (59959066800); Kumar, Pullela S. V. V. S. R. (56824795000); Singh, Mandeep (59134529100); Babu, K. Kishore (59715312600)","57218466656; 59959066800; 56824795000; 59134529100; 59715312600","Integrating AI and Machine Learning Into Supply Chain and Marketing: A Strategic Approach","2024","AI and Machine Learning Applications in Supply Chains and Marketing","","","","189","218","0","10.4018/979-8-3693-6760-5.ch008","https://www.scopus.com/pages/publications/105008850577?origin=resultslist","Book chapter","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105008850577"
"Hu Y.; Ghadimi P.","Hu, Yang (58026728500); Ghadimi, Pezhman (54419924400)","58026728500; 54419924400","A Review of Artificial Intelligence Application on Enhancing Resilience of Closed-loop Supply Chain","2023","Proceedings of the 29th International Conference on Engineering, Technology, and Innovation: Shaping the Future, ICE 2023","","","","","","4","10.1109/ICE/ITMC58018.2023.10332424","https://www.scopus.com/pages/publications/85181065896?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85181065896"
"Chen L.; Zhang K.","Chen, Lanjian (60584795900); Zhang, Kehong (55208483300)","60584795900; 55208483300","Construction and Emergency Response Application of Knowledge Graph","2025","Proceedings - 2025 IEEE Smart World Congress, SWC 2025, 2025 IEEE Ubiquitous Intelligence and Computing, Autonomous and Trusted Computing, Digital Twin, Metaverse, Scalable Computing and Communications","","","","967","974","0","10.1109/SWC65939.2025.00157","https://www.scopus.com/pages/publications/105035830036?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105035830036"
"Castillo-Arce A.; Patrick Sanchez-Zavalaga H.; Nuñez-Bardales K.; Obregon-Tinoco H.; Bazan-Aguilar A.","Castillo-Arce, Alexis (60150566500); Patrick Sanchez-Zavalaga, Hendrick (60150481400); Nuñez-Bardales, Katheryne (59325145800); Obregon-Tinoco, Henry (57201852891); Bazan-Aguilar, Antony (56485509600)","60150566500; 60150481400; 59325145800; 57201852891; 56485509600","Systematic review on the inclusion of technological tools in the Health Sector Supply Chain (CSSS); [Revisión sistemática sobre la inclusión de herramientas tecnológicas en la cadena de suministro del sector salud (CSSS)]","2025","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","","2025","","","","0","10.18687/LACCEI2025.1.1.1596","https://www.scopus.com/pages/publications/105019300493?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105019300493"
"Li Z.","Li, Zhenhuan (60216952800)","60216952800","Analysis of the Potential Application of GenAI in Supply Chain Optimization Technology","2025","Proceedings of 2025 International Conference on Generative Artificial Intelligence for Business, GAIB 2025","","","","299","304","0","10.1145/3766918.3766968","https://www.scopus.com/pages/publications/105023302206?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023302206"
"Arif J.; Jawab F.","Arif, Jabir (44860956700); Jawab, Fouad (44861244000)","44860956700; 44861244000","Artificial Intelligence and the Future of Supply Chains: A Crossroads of Innovation and Disruption","2025","Transformative Impact of AI in Supply Chain Management","","","","295","316","1","10.4018/979-8-3373-0923-1.ch012","https://www.scopus.com/pages/publications/105017549336?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105017549336"
"Chairmadurai K.; Varalakshmi P.; Prasanna S.; Narayanan S.B.; Gokul S.; Karthick V.","Chairmadurai, K. (60050770800); Varalakshmi, P. (46661903700); Prasanna, S. (57205922336); Narayanan, S. Bathri (60591411100); Gokul, S. (60590473600); Karthick, V. (57209469602)","60050770800; 46661903700; 57205922336; 60591411100; 60590473600; 57209469602","AI-Based Framework for Demand Forecasting, Real-Time Stock Alert, and Automated Reordering in Supermarkets","2026","De Gruyter Proceedings in Mathematics","","","","13","23","0","10.1515/9783112234952-003","https://www.scopus.com/pages/publications/105036286822?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105036286822"
"Talha S.E.; Arif J.; Jawab F.","Talha, Salah-Eddine (59212668600); Arif, Jabir (44860956700); Jawab, Fouad (44861244000)","59212668600; 44860956700; 44861244000","Reimagining the Supply Chain: How Artificial Intelligence Is Shaping the Future of Logistics","2026","The Role of AI in Sustainable Supply Chain Management","","","","307","350","0","10.4018/979-8-3373-6645-6.ch010","https://www.scopus.com/pages/publications/105033815718?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105033815718"
"Krishna S.H.; Anumula S.K.; Thakur R.; Sharma Y.K.; Sharma P.; Tewari P.C.","Krishna, Somanchi Hari (58019926400); Anumula, Sathish Krishna (60141414200); Thakur, Raksha (60525517100); Sharma, Yogesh Kumar (57069610700); Sharma, Pradeep (57212203917); Tewari, Puran Chandra (36026942500)","58019926400; 60141414200; 60525517100; 57069610700; 57212203917; 36026942500","The Role of AI in Enhancing Supply Chain and Operations Management","2025","Proceedings of International Conference on Digital Innovations for Sustainable Solutions, ICDISS 2025","","","","","","0","10.1109/ICDISS68238.2025.11320742","https://www.scopus.com/pages/publications/105033545192?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105033545192"
"Fathima F.; Inparaj R.; Thuvarakan D.; Wickramarachchi R.; Fernando I.","Fathima, Fazaal (59185162400); Inparaj, Rishani (59032242000); Thuvarakan, Dushyanthan (59185468600); Wickramarachchi, Ruwan (6505510673); Fernando, Ishenka (59185620000)","59185162400; 59032242000; 59185468600; 6505510673; 59185620000","Impact of AI-based predictive analytics on demand forecasting in ERP systems: A Systematic Literature Review","2024","Proceedings - International Research Conference on Smart Computing and Systems Engineering, SCSE 2024","","","","","","16","10.1109/SCSE61872.2024.10550480","https://www.scopus.com/pages/publications/85196756650?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85196756650"
"Imane E.M.; Karim B.","Imane, El Moumni (60406666800); Karim, Bougrine (60406570900)","60406666800; 60406570900","Exploring Challenges and Prospects of Artificial Intelligence Integration in Supply Chain Management: A Qualitative Analysis of Moroccan Enterprises","2025","International Conference on Logistics, LOGISTIQUA","","2025","","","","0","10.1109/LOGISTIQUA66323.2025.11122837","https://www.scopus.com/pages/publications/105030545986?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105030545986"
"Suganya P.; Elavarasi J.; Siva S.R.; Anto G.L.A.; Ananthi S.N.; Girija P.; Thilagam T.","Suganya, P. (59699827700); Elavarasi, J. (59704573600); Siva, Subramanian R. (57210728855); Anto, Gracious L. A. (38661095100); Ananthi, S.N. (57211314526); Girija, P. (58093947000); Thilagam, T. (57212511449)","59699827700; 59704573600; 57210728855; 38661095100; 57211314526; 58093947000; 57212511449","The Role of Artificial Intelligence in Transforming Supply Chain Management","2025","Transformative Impact of AI in Supply Chain Management","","","","271","293","0","10.4018/979-8-3373-0923-1.ch011","https://www.scopus.com/pages/publications/105017735807?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105017735807"
"Pal K.","Pal, Kamalendu (9532428600)","9532428600","Generative Artificial Intelligence and Its Transformative Power in Supply Chain Operations Management","2025","Supply Chain Transformation Through Generative AI and Machine Learning","","","","53","68","3","10.4018/979-8-3693-4433-0.ch003","https://www.scopus.com/pages/publications/105006966909?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105006966909"
"Laosiritaworn W.S.","Laosiritaworn, Wimalin S. (23994060500)","23994060500","Supply chain forecasting model using computational intelligence techniques","2011","Chiang Mai University Journal of Natural Sciences","10","SPECIALISSUE.1","","19","28","4","","https://www.scopus.com/pages/publications/84872203103?origin=resultslist","Article","Final","","Scopus","2-s2.0-84872203103"
"Riad M.; Naimi M.; Okar C.","Riad, Meriem (57222271002); Naimi, Mohamed (57197458914); Okar, Chafik (57188695712)","57222271002; 57197458914; 57188695712","Enhancing Supply Chain Resilience Through Artificial Intelligence: Developing a Comprehensive Conceptual Framework for AI Implementation and Supply Chain Optimization","2024","Logistics","8","4","111","","","105","10.3390/logistics8040111","https://www.scopus.com/pages/publications/85213047589?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85213047589"
"Rahman T.; Paul S.K.","Rahman, Towfique (57200034799); Paul, Sanjoy Kumar (9246007500)","57200034799; 9246007500","A review of computational tools, techniques, and methods for sustainable supply chains","2024","Computational Intelligence Techniques for Sustainable Supply Chain Management","","","","1","26","3","10.1016/B978-0-443-18464-2.00008-X","https://www.scopus.com/pages/publications/85203227169?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85203227169"
"Ghalehkhondabi I.","Ghalehkhondabi, Iman (57191376888)","57191376888","Artificial Neural Network Applications in Supply Chain Management: A Literature Review and Classification","2026","Applied System Innovation","9","3","55","","","0","10.3390/asi9030055","https://www.scopus.com/pages/publications/105033896415?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033896415"
"Sun Y.; Wang Z.; Gu H.; Tan S.; Lü J.","Sun, Yu (59352253300); Wang, Zhenqian (57201326637); Gu, Haibo (57213495453); Tan, Shaolin (55268753400); Lü, Jinhu (58532857500)","59352253300; 57201326637; 57213495453; 55268753400; 58532857500","A survey of supply chain management modeling and optimization: Key problems and recent solutions","2025","Science China Technological Sciences","68","9","1970301","","","1","10.1007/s11431-024-2943-2","https://www.scopus.com/pages/publications/105014191532?origin=resultslist","Review","Final","","Scopus","2-s2.0-105014191532"
"Eletter S.F.; Elrefae G.A.; Shaikh Z.W.; Yaseen S.G.; Yasmin T.; Athamena B.","Eletter, Shorouq F. (55539589600); Elrefae, Ghaleb A. (15026385900); Shaikh, Zoya W. (59390427500); Yaseen, Saad G. (36134006200); Yasmin, Tahira (56406291900); Athamena, Belkacem (6507855990)","55539589600; 15026385900; 59390427500; 36134006200; 56406291900; 6507855990","The Contribution of Artificial Intelligence in Transforming Supply Chain Ecosystem","2025","Studies in Systems, Decision and Control","597","","","787","796","0","10.1007/978-3-031-90271-0_56","https://www.scopus.com/pages/publications/105018026916?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105018026916"
"Raghavendra A.N.; Amalanathan S.","Raghavendra, A.N. (57214147823); Amalanathan, S. (57214156360)","57214147823; 57214156360","Role of AI in the inventory management of agri-fresh produce at HOPCOMS","2023","Advanced Machine Learning Algorithms for Complex Financial Applications","","","","115","131","0","10.4018/978-1-6684-4483-2.ch008","https://www.scopus.com/pages/publications/85147391775?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85147391775"
"Abualese H.; Alkhawaldeh M.A.; AL-Ta’ani R.H.; Al-Mousa M.R.; Alsarhan Y.; Alqudah M.; Al-Jarrah A.","Abualese, Hasan (56798546000); Alkhawaldeh, Mohammed Awad (59963302900); AL-Ta’ani, Rami Hasan (57193027567); Al-Mousa, Mohammad Rasmi (60644658000); Alsarhan, Yazeed (60330913900); Alqudah, Musab (56519753700); Al-Jarrah, Ahmad (57204517340)","56798546000; 59963302900; 57193027567; 60644658000; 60330913900; 56519753700; 57204517340","AI-Driven Model to Enhance Digital Empowerment in Supply Chains for Better Planning","2026","Applied Mathematics and Information Sciences","20","2","","527","537","0","10.18576/amis/200218","https://www.scopus.com/pages/publications/105039787384?origin=resultslist","Article","Final","","Scopus","2-s2.0-105039787384"
"Sravani Y.; Ganesh C.N.; Veeraiah V.; Shrivastava G.; Gupta A.; Anand R.","Sravani, Y. (60379696800); Ganesh, C.Naga (59009651300); Veeraiah, Vivek (55151379400); Shrivastava, Gitanjali (58099931400); Gupta, Ankur (57215604870); Anand, Rohit (56937904300)","60379696800; 59009651300; 55151379400; 58099931400; 57215604870; 56937904300","IoT-Enabled Inventory Tracking and Demand Forecasting in Online Marketplaces","2025","2025 12th International Conference on Reliability, Infocom Technologies and Optimization ,Trends and Future Directions, ICRITO 2025","","","","","","0","10.1109/ICRITO66076.2025.11241232","https://www.scopus.com/pages/publications/105029865129?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105029865129"
"Niranjan K.; Narayana K.S.; Rao M.V.A.L.N.","Niranjan, K. (57223134762); Narayana, K. Surya (57194241369); Rao, M.V.A.L. Narasimha (57200300616)","57223134762; 57194241369; 57200300616","Role of Artifical Intelligence in Logistics and Supply Chain","2021","2021 International Conference on Computer Communication and Informatics, ICCCI 2021","","","9402625","","","26","10.1109/ICCCI50826.2021.9402625","https://www.scopus.com/pages/publications/85104985181?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85104985181"
